participant_id	age	sex	correct_quiz_questions	total_quiz_questions
sub-CN001	n/a	n/a	n/a	n/a
sub-CN002	n/a	n/a	n/a	n/a
sub-CN003	n/a	n/a	n/a	n/a
sub-CN004	n/a	n/a	n/a	n/a
sub-CN005	n/a	n/a	n/a	n/a
sub-CN006	n/a	n/a	n/a	n/a
sub-CN007	n/a	n/a	n/a	n/a
sub-CN008	n/a	n/a	n/a	n/a
sub-CN009	n/a	n/a	n/a	n/a
sub-CN010	n/a	n/a	n/a	n/a
sub-CN011	n/a	n/a	n/a	n/a
sub-CN012	n/a	n/a	n/a	n/a
sub-CN013	n/a	n/a	n/a	n/a
sub-CN014	n/a	n/a	n/a	n/a
sub-CN015	n/a	n/a	n/a	n/a
sub-CN016	n/a	n/a	n/a	n/a
sub-CN017	n/a	n/a	n/a	n/a
sub-CN018	n/a	n/a	n/a	n/a
sub-CN019	n/a	n/a	n/a	n/a
sub-CN020	n/a	n/a	n/a	n/a
sub-CN021	n/a	n/a	n/a	n/a
sub-CN022	n/a	n/a	n/a	n/a
sub-CN023	n/a	n/a	n/a	n/a
sub-CN024	n/a	n/a	n/a	n/a
sub-CN025	n/a	n/a	n/a	n/a
sub-CN026	n/a	n/a	n/a	n/a
sub-CN027	n/a	n/a	n/a	n/a
sub-CN028	n/a	n/a	n/a	n/a
sub-CN029	n/a	n/a	n/a	n/a
sub-CN030	n/a	n/a	n/a	n/a
sub-CN031	n/a	n/a	n/a	n/a
sub-CN032	n/a	n/a	n/a	n/a
sub-CN033	n/a	n/a	n/a	n/a
sub-CN034	n/a	n/a	n/a	n/a
sub-CN035	n/a	n/a	n/a	n/a
sub-CN036	n/a	n/a	n/a	n/a
sub-CN037	n/a	n/a	n/a	n/a
sub-EN057	20	F	34	36
sub-EN058	22	M	33	36
sub-EN059	21	F	33	36
sub-EN061	25	F	36	36
sub-EN062	23	M	36	36
sub-EN063	22	M	36	36
sub-EN064	19	M	33	36
sub-EN065	21	F	31	36
sub-EN066	19	F	33	36
sub-EN067	21	F	35	36
sub-EN068	19	M	33	36
sub-EN069	21	F	34	36
sub-EN070	20	F	34	36
sub-EN072	18	F	34	36
sub-EN073	19	F	36	36
sub-EN074	18	F	34	36
sub-EN075	18	M	35	36
sub-EN076	20	M	30	32
sub-EN077	22	M	35	36
sub-EN078	19	F	27	36
sub-EN079	21	F	35	36
sub-EN080	22	F	34	36
sub-EN081	22	F	35	36
sub-EN082	28	F	33	36
sub-EN083	20	F	36	36
sub-EN084	28	F	32	36
sub-EN086	19	M	33	36
sub-EN087	22	M	35	36
sub-EN088	21	M	35	36
sub-EN089	33	M	27	36
sub-EN091	20	M	21	36
sub-EN092	21	M	32	36
sub-EN093	20	F	31	36
sub-EN094	21	F	30	36
sub-EN095	20	F	35	36
sub-EN096	18	F	30	36
sub-EN097	21	F	32	36
sub-EN098	24	F	n/a	36
sub-EN099	37	F	24	36
sub-EN100	19	F	35	36
sub-EN101	23	M	30	36
sub-EN103	18	F	30	36
sub-EN104	19	F	34	36
sub-EN105	19	F	18	36
sub-EN106	20	M	34	36
sub-EN107	21	M	35	36
sub-EN108	18	M	32	36
sub-EN109	19	M	34	36
sub-EN110	21	F	33	36
sub-EN111	20	F	23	36
sub-EN113	21	F	31	36
sub-EN114	20	M	33	36
sub-EN115	23	F	27	36
sub-FR001	n/a	n/a	n/a	n/a
sub-FR002	n/a	n/a	n/a	n/a
sub-FR003	n/a	n/a	n/a	n/a
sub-FR004	n/a	n/a	n/a	n/a
sub-FR005	n/a	n/a	n/a	n/a
sub-FR006	n/a	n/a	n/a	n/a
sub-FR007	n/a	n/a	n/a	n/a
sub-FR008	n/a	n/a	n/a	n/a
sub-FR009	n/a	n/a	n/a	n/a
sub-FR010	n/a	n/a	n/a	n/a
sub-FR011	n/a	n/a	n/a	n/a
sub-FR012	n/a	n/a	n/a	n/a
sub-FR013	n/a	n/a	n/a	n/a
sub-FR014	n/a	n/a	n/a	n/a
sub-FR015	n/a	n/a	n/a	n/a
sub-FR016	n/a	n/a	n/a	n/a
sub-FR017	n/a	n/a	n/a	n/a
sub-FR018	n/a	n/a	n/a	n/a
sub-FR019	n/a	n/a	n/a	n/a
sub-FR020	n/a	n/a	n/a	n/a
sub-FR021	n/a	n/a	n/a	n/a
sub-FR022	n/a	n/a	n/a	n/a
sub-FR023	n/a	n/a	n/a	n/a
sub-FR024	n/a	n/a	n/a	n/a
sub-FR025	n/a	n/a	n/a	n/a
sub-FR026	n/a	n/a	n/a	n/a
sub-FR027	n/a	n/a	n/a	n/a
sub-FR028	n/a	n/a	n/a	n/a
sub-FR029	n/a	n/a	n/a	n/a
sub-FR030	n/a	n/a	n/a	n/a